PassengerID,ClassID,FromRouteID,ToRouteID,SeatID,PNR,DateOfJourney,BookingDate,BookingStatus
92,2,2,3,61,5255061901,2025-04-21,2025-04-15,WL
81,2,1,2,19,5987242922,2025-04-21,2025-04-15,WL
91,2,1,3,64,3758065308,2025-04-21,2025-04-15,WL
89,2,1,2,31,8850265991,2025-04-21,2025-04-15,WL
99,2,2,3,49,8888803860,2025-04-21,2025-04-15,WL
83,2,1,3,20,9567346518,2025-04-21,2025-04-15,WL
94,2,1,3,54,5493487910,2025-04-21,2025-04-15,WL
88,2,1,3,38,6038674407,2025-04-21,2025-04-15,WL
98,2,1,3,45,4691448033,2025-04-21,2025-04-15,WL
82,2,1,2,90,5590352112,2025-04-21,2025-04-15,WL
87,2,2,3,41,2382645516,2025-04-21,2025-04-15,WL
84,2,1,2,48,2489234745,2025-04-21,2025-04-15,WL
79,2,1,2,86,2768400452,2025-04-21,2025-04-15,WL
78,2,1,3,83,9197324087,2025-04-21,2025-04-15,WL
86,2,2,3,32,5637215684,2025-04-21,2025-04-15,WL
90,2,2,3,23,5280847166,2025-04-21,2025-04-15,WL
76,2,1,3,39,5547429102,2025-04-21,2025-04-15,WL
95,2,1,2,68,9156686087,2025-04-21,2025-04-15,WL
77,2,1,3,88,9850323852,2025-04-21,2025-04-15,WL
96,2,1,3,56,3911234942,2025-04-21,2025-04-15,WL
93,2,2,3,82,5536089061,2025-04-21,2025-04-15,WL
85,2,1,3,85,6987637134,2025-04-21,2025-04-15,WL
97,2,2,3,93,2988858394,2025-04-21,2025-04-15,WL
80,2,1,3,67,3981244381,2025-04-21,2025-04-15,WL
