ClassID,SeatNumber
19,A1-01
19,A1-02
19,A1-03
19,A1-04
19,A1-05
19,A1-06
19,A1-07
19,A1-08
19,A1-09
19,A1-10
19,A1-11
19,A1-12
19,A1-13
19,A1-14
19,A1-15
19,A1-16
19,A1-17
19,A1-18
19,A1-19
19,A1-20
19,A1-21
19,A1-22
19,A1-23
19,A1-24
19,A1-25
19,A1-26
19,A1-27
19,A1-28
19,A1-29
19,A1-30
19,A1-31
19,A1-32
19,A1-33
19,A1-34
19,A1-35
19,A1-36
19,A1-37
19,A1-38
19,A1-39
19,A1-40
19,A1-41
19,A1-42
19,A1-43
19,A1-44
19,A1-45
19,A1-46
19,A1-47
19,A1-48
19,A1-49
19,A1-50
19,A1-51
19,A1-52
19,A1-53
19,A1-54
19,A2-01
19,A2-02
19,A2-03
19,A2-04
19,A2-05
19,A2-06
19,A2-07
19,A2-08
19,A2-09
19,A2-10
19,A2-11
19,A2-12
19,A2-13
19,A2-14
19,A2-15
19,A2-16
19,A2-17
19,A2-18
19,A2-19
19,A2-20
19,A2-21
19,A2-22
19,A2-23
19,A2-24
19,A2-25
19,A2-26
19,A2-27
19,A2-28
19,A2-29
19,A2-30
19,A2-31
19,A2-32
19,A2-33
19,A2-34
19,A2-35
19,A2-36
19,A2-37
19,A2-38
19,A2-39
19,A2-40
19,A2-41
19,A2-42
19,A2-43
19,A2-44
19,A2-45
19,A2-46
19,A2-47
19,A2-48
19,A2-49
19,A2-50
19,A2-51
19,A2-52
19,A2-53
19,A2-54
19,A3-01
19,A3-02
19,A3-03
19,A3-04
19,A3-05
19,A3-06
19,A3-07
19,A3-08
19,A3-09
19,A3-10
19,A3-11
19,A3-12
19,A3-13
19,A3-14
19,A3-15
19,A3-16
19,A3-17
19,A3-18
19,A3-19
19,A3-20
19,A3-21
19,A3-22
19,A3-23
19,A3-24
19,A3-25
19,A3-26
19,A3-27
19,A3-28
19,A3-29
19,A3-30
19,A3-31
19,A3-32
19,A3-33
19,A3-34
19,A3-35
19,A3-36
19,A3-37
19,A3-38
19,A3-39
19,A3-40
19,A3-41
19,A3-42
19,A3-43
19,A3-44
19,A3-45
19,A3-46
19,A3-47
19,A3-48
19,A3-49
19,A3-50
19,A3-51
19,A3-52
19,A3-53
19,A3-54
20,B1-01
20,B1-02
20,B1-03
20,B1-04
20,B1-05
20,B1-06
20,B1-07
20,B1-08
20,B1-09
20,B1-10
20,B1-11
20,B1-12
20,B1-13
20,B1-14
20,B1-15
20,B1-16
20,B1-17
20,B1-18
20,B1-19
20,B1-20
20,B1-21
20,B1-22
20,B1-23
20,B1-24
20,B1-25
20,B1-26
20,B1-27
20,B1-28
20,B1-29
20,B1-30
20,B1-31
20,B1-32
20,B1-33
20,B1-34
20,B1-35
20,B1-36
20,B1-37
20,B1-38
20,B1-39
20,B1-40
20,B1-41
20,B1-42
20,B1-43
20,B1-44
20,B1-45
20,B1-46
