ClassID,SeatNumber,
4,H1-01,
4,H1-02,
4,H1-03,
4,H1-04,
4,H1-05,
4,H1-06,
4,H1-07,
4,H1-08,
4,H1-09,
4,H1-10,
4,H1-11,
4,H1-12,
4,H1-13,
4,H1-14,
4,H1-15,
4,H1-16,
4,H1-17,
4,H1-18,
5,A1-01,
5,A1-02,
5,A1-03,
5,A1-04,
5,A1-05,
5,A1-06,
5,A1-07,
5,A1-08,
5,A1-09,
5,A1-10,
5,A1-11,
5,A1-12,
5,A1-13,
5,A1-14,
5,A1-15,
5,A1-16,
5,A1-17,
5,A1-18,
5,A1-19,
5,A1-20,
5,A1-21,
5,A1-22,
5,A1-23,
5,A1-24,
5,A1-25,
5,A1-26,
5,A1-27,
5,A1-28,
5,A1-29,
5,A1-30,
5,A1-31,
5,A1-32,
5,A1-33,
5,A1-34,
5,A1-35,
5,A1-36,
5,A1-37,
5,A1-38,
5,A1-39,
5,A1-40,
5,A1-41,
5,A1-42,
5,A1-43,
5,A1-44,
5,A1-45,
5,A1-46,
5,A1-47,
5,A1-48,
5,A1-49,
5,A1-50,
5,A1-51,
5,A1-52,
5,A1-53,
5,A1-54,
5,A2-01,
5,A2-02,
5,A2-03,
5,A2-04,
5,A2-05,
5,A2-06,
5,A2-07,
5,A2-08,
5,A2-09,
5,A2-10,
5,A2-11,
5,A2-12,
5,A2-13,
5,A2-14,
5,A2-15,
5,A2-16,
5,A2-17,
5,A2-18,
5,A2-19,
5,A2-20,
5,A2-21,
5,A2-22,
5,A2-23,
5,A2-24,
5,A2-25,
5,A2-26,
5,A2-27,
5,A2-28,
5,A2-29,
5,A2-30,
5,A2-31,
5,A2-32,
5,A2-33,
5,A2-34,
5,A2-35,
5,A2-36,
5,A2-37,
5,A2-38,
5,A2-39,
5,A2-40,
5,A2-41,
5,A2-42,
5,A2-43,
5,A2-44,
5,A2-45,
5,A2-46,
5,A2-47,
5,A2-48,
5,A2-49,
5,A2-50,
5,A2-51,
5,A2-52,
5,A2-53,
5,A2-54,
5,A3-01,
5,A3-02,
5,A3-03,
5,A3-04,
5,A3-05,
5,A3-06,
5,A3-07,
5,A3-08,
5,A3-09,
5,A3-10,
5,A3-11,
5,A3-12,
5,A3-13,
5,A3-14,
5,A3-15,
5,A3-16,
5,A3-17,
5,A3-18,
5,A3-19,
5,A3-20,
5,A3-21,
5,A3-22,
5,A3-23,
5,A3-24,
5,A3-25,
5,A3-26,
5,A3-27,
5,A3-28,
5,A3-29,
5,A3-30,
5,A3-31,
5,A3-32,
5,A3-33,
5,A3-34,
